Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.03%,132,103,29,2,79.23%,3:04:10,0,0.00%,0.00%,0.00%,1.52%,5:56:33
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:51,0,0.00%,0.00%,0.00%,0.00%,0:09:42
sFlow Hardening,50.00%,4,2,2,0,50.00%,0:09:56,0,0.00%,0.00%,0.00%,0.00%,0:19:52
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,76.60%,94,72,22,1,77.42%,1:37:00,0,0.00%,0.00%,0.00%,1.06%,3:04:46
VRF-Lite,100.00%,21,21,0,0,100.00%,0:35:17,0,0.00%,0.00%,0.00%,0.00%,1:10:34
NAT,100.00%,3,3,0,0,100.00%,0:02:33,0,0.00%,0.00%,0.00%,0.00%,0:02:33
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:32:25,0,0.00%,0.00%,0.00%,0.00%,1:04:50
