#,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,routing/BGP/test_bgp.py,,,0:03:30,2023-12-29 00:52:50,0,1,0,2,Module Prolog,"V3, V4",,
2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v6_link_local_bgp,Pass,0:00:21,2023-12-29 00:53:05,0,1,0,2,Test case passed,"V3, V4",,Verify that BGP peer session is established with v6 link local address
3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_clear,Pass,0:00:14,2023-12-29 00:53:19,0,1,0,2,Test case passed,"V3, V4",,
4,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_peer_traffic_check,Pass,0:03:31,2023-12-29 00:56:50,0,1,0,2,Test case passed,"V3, V4",,
5,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:13,2023-12-29 00:57:02,0,1,0,2,Test case passed,"V3, V4",,
6,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,Fail,0:01:41,2023-12-29 00:58:43,0,1,0,2,Test case Failed.,"V3, V4",,
7,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,Fail,0:01:41,2023-12-29 01:00:23,0,1,0,2,Test case Failed.,"V3, V4",,
8,routing/BGP/test_bgp.py,TestBGPRif.test_bgp_route_aggregation_4byteASN,Fail,0:00:40,2023-12-29 01:01:03,0,1,0,2,Test case Failed Neighbour is failed to Establish between Leaf - TG,"V3, V4",,
9,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,Pass,0:01:02,2023-12-29 01:02:04,0,1,0,2,Test case passed,"V3, V4",,
10,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v4_dyn_nbr,Pass,0:00:33,2023-12-29 01:02:37,0,1,0,2,Test case passed,"V3, V4",,Verify that BGP peering is formed with dynamic neighbors having 4btye ASN
