#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,L3 Scale and Performance,FtRtPerfFn024,Fail,Mapped,2024-01-06 01:37:05,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",
2,L3 Scale and Performance,FtRtPerfFn023,Fail,Mapped,2024-01-06 01:37:05,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",
3,VRF-Lite,FtOpSoRoVrfFun052,Fail,Mapped,2024-01-06 01:37:05,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",
4,VRF-Lite,FtOpSoRoVrfScl057,Pass,Mapped,2024-01-06 01:39:12,Test case passed,test_vrf_route_leak,routing/VRF/test_vrf_scale.py,"V3, V4",
5,VRF-Lite,FtOpSoRoVrfScl056,Pass,Mapped,2024-01-06 01:48:57,Test case passed,test_vrf_bgp,routing/VRF/test_vrf_scale.py,"V3, V4",
6,VRF-Lite,FtOpSoRoVrfScl058,Fail,Mapped,2024-01-06 02:02:35,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_reload,routing/VRF/test_vrf_scale.py,"V3, V4",
7,Regression,FtOpSoRtIpv4Fn003,Pass,Mapped,2024-01-06 02:12:08,Test case passed,test_l3_v4_route_po_1,routing/test_ip.py,"V3, V4",
8,Regression,ft_ipv4_address_check ,Pass,Mapped,2024-01-06 02:12:17,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
9,Regression,ft_ipv6_address_check ,Pass,Mapped,2024-01-06 02:12:17,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
10,Regression,ft_ping_vlan ,Pass,Mapped,2024-01-06 02:12:17,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
11,Regression,CETA_SONIC_40640,Pass,Mapped,2024-01-06 02:12:39,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
12,Regression,ft_ip_address_check_pc,Pass,Mapped,2024-01-06 02:12:39,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
13,Regression,ft_ip6_address_check_pc,Pass,Mapped,2024-01-06 02:12:39,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
14,Regression,ft_ping6_after_ip_change,Pass,Mapped,2024-01-06 02:12:39,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
15,Regression,ft_ping_after_ip_change,Pass,Mapped,2024-01-06 02:12:39,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
16,RIF Counters,RIF_COUNT_FUNC_0031,Pass,Mapped,2024-01-06 02:14:09,Test case passed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
17,Regression,ft_ip6_static_route_traffic_forward ,Pass,Mapped,2024-01-06 02:14:09,Test case passed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
18,Regression,ft_ip6_static_route_traffic_fwd_blackhole ,Pass,Mapped,2024-01-06 02:14:09,Test case passed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
19,Regression,ft_ip6_connected_host_traffic_forward,Pass,Mapped,2024-01-06 02:14:09,Test case passed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
20,RIF Counters,RIF_COUNT_FUNC_001,Unsupported,SubTest,2024-01-06 02:14:09,rif counters update unsupported on Physical-Interface routing interface,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
21,Regression,ft_ip_static_route_traffic_forward,Pass,Mapped,2024-01-06 02:15:07,Test case passed,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
22,RIF Counters,RIF_COUNT_FUNC_001,Pass,SubTest,2024-01-06 02:15:07,rif counters update Successful on Physical_Interface routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
23,RIF Counters,RIF_COUNT_FUNC_021,Pass,SubTest,2024-01-06 02:15:07,rif counters update Successful on Phy_Shut_noShut routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
24,Regression,ft_ip6_L2_L3_translation,Pass,Mapped,2024-01-06 02:16:39,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",
25,Regression,ft_ip_L2_L3_translation,Pass,Mapped,2024-01-06 02:16:39,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",
26,Regression,ipv6_intf_order,Pass,Mapped,2024-01-06 02:17:10,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",
27,Regression,ipv4_intf_order,Pass,Mapped,2024-01-06 02:17:10,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",
28,Sanity,l2_to_l3_port,Fail,Mapped,2024-01-06 02:22:27,Failed to port L2 config to L3 config,test_l2_to_l3_port,sanity/test_sanity_l3.py,"V3, V4",
