#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,gw6,system/test_snapshot.py,test_ft_watermark_telemetry_interval,,0:00:33,0:00:00.000,0:00:08.778,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
2,gw6,system/test_snapshot.py,test_ft_watermark_telemetry_interval,Pass,0:00:15,0:00:00.000,0:00:07.762,0:00:00.000,0:00:00,0:00:00,0,0,verification of configured telemetry interval and reset to default interval is successful
3,gw6,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,,0:00:35,0:00:17.037,0:00:08.770,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
4,gw6,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,Pass,0:00:06,0:00:00.000,0:00:00.516,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
5,gw6,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,,0:00:34,0:00:19.439,0:00:06.826,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
6,gw6,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,Fail,0:03:32,0:00:00.000,0:00:30.816,0:00:00.000,0:02:11,0:00:00,0,0,None of the configured ntp server reachable
7,gw6,system/test_ntp.py,test_ntp_exists_config,Pass,0:00:11,0:00:00.000,0:00:04.412,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
8,gw6,system/test_snmp.py,test_ft_snmp_sysName,,0:01:40,0:00:19.439,0:00:34.657,0:00:00.000,0:00:02,0:00:00,0,0,Module Configuration
9,gw6,system/test_snmp.py,test_ft_snmp_sysName,Pass,0:00:05,0:00:00.000,0:00:00.258,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
10,gw6,system/test_snmp.py,test_ft_snmp_test_syUpTime,Pass,0:00:06,0:00:00.000,0:00:00.662,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
11,gw6,system/test_snmp.py,test_ft_snmp_sysDescr,Pass,0:00:08,0:00:00.000,0:00:01.489,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
12,gw6,system/test_snmp.py,test_ft_snmp_mib_2,Pass,0:00:10,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
13,gw6,system/test_snmp.py,test_ft_snmp_if_mib_all,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
14,gw6,system/test_snmp.py,test_ft_snmp_entity_mib_all,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
15,gw6,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
16,gw6,system/test_snmp.py,test_ft_snmp_root_node_walk,Pass,0:00:13,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
17,gw6,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,Pass,0:00:11,0:00:00.000,0:00:02.357,0:00:00.000,0:00:02,0:00:00,0,0,Test case passed
18,gw6,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
19,gw6,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
20,gw6,system/test_snmp.py,test_ft_snmp_ipv6scope_index_table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
21,gw6,system/test_snmp.py,test_ft_snmp_ip_forward_table,Pass,0:00:07,0:00:00.000,0:00:01.288,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
