#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw5,routing/test_l3_performance.py,V2,UNKNOWN,VS,scapy,8,4,50.00%,0:06:21
2,gw5,qos/test_qos_save_reboot.py,V2,UNKNOWN,VS,scapy,8,8,100.00%,0:07:51
3,gw6,routing/NAT/test_nat.py,V1,UNKNOWN,VS,scapy,3,3,100.00%,0:02:35
4,gw6,routing/test_ndp.py,V1,UNKNOWN,VS,scapy,3,3,100.00%,0:02:49
5,gw6,routing/test_arp.py,V1,UNKNOWN,VS,scapy,1,1,100.00%,0:02:46
6,gw6,system/test_device_mgmt.py,V1,UNKNOWN,VS,scapy,1,1,100.00%,0:01:41
7,gw2,routing/VRF/test_vrf_scale.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,1,16.67%,0:53:13
8,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:57
9,gw3,routing/VRF/test_vrf.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,17,3,17.65%,0:20:06
10,gw3,routing/BGP/test_bgp.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,52,46,88.46%,0:38:08
11,gw3,system/test_sflow.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:06:21
12,gw3,sanity/test_sanity_l3.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:04:12
13,gw3,routing/BGP/test_bgp_rr_traffic.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:08:01
