#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,ft_add_unknownvlan_interface,Pass,Mapped,2024-01-05 02:59:15,Test case passed,test_ft_add_unknownvlan_interface,switching/test_vlan.py,"V1, V2",
2,Regression,ft_vlan_delete_with_member,Pass,Mapped,2024-01-05 02:59:27,Test case passed,test_ft_vlan_delete_with_member,switching/test_vlan.py,"V1, V2",
3,Regression,ft_vlan_trunk_tagged,Pass,Mapped,2024-01-05 03:00:53,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",
4,Regression,ft_show_vlan_brief,Pass,Mapped,2024-01-05 03:00:53,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",
5,warmboot,ft_reboot_fdb_fast_reboot,ScriptError,Mapped,2024-01-05 03:06:07,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
6,warmboot,ft_max_vlan_save_reload,ScriptError,Mapped,2024-01-05 03:06:07,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
7,warmboot,FtOpSoSysFRFn005,ScriptError,Mapped,2024-01-05 03:06:07,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
8,Regression,ft_ssh_service_disable,Pass,Mapped,2024-01-05 03:12:05,Test case passed,test_ft_ssh_service_disable,system/test_ssh.py,"V1, V2",
9,Regression,ft_ssh_add_user_verify,Fail,Mapped,2024-01-05 03:21:14,Test case Failed.,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
10,Control Plane ACL,test_ft_controlplane_acl_service_sshv4,Pass,SubTest,2024-01-05 03:21:14,SSH failed,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
11,Control Plane ACL,test_ft_controlplane_acl_service_sshv6,Pass,SubTest,2024-01-05 03:21:14,SSH failed,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
12,Control Plane ACL,test_ft_controlplane_acl_service_snmp,Fail,SubTest,2024-01-05 03:21:14,SNMP output is not found after walk of with control plane ACL service SNMP after reboot OID,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
13,Regression,CETA_SONIC_67575,Pass,Mapped,2024-01-05 03:21:36,Test case passed,test_ft_verify_logs_at_the_time_of_ssh_login_success,system/test_ssh.py,"V1, V2",
