Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,Node,TS
,58.14%,86,50,0,1:55:22,9,0,14,0:20:39,0:09:27,0:37:57,1:08:03,68.18%,66,45,17,1,0,2,0,0,1,0,0,0,0,,0
system/test_lldp.py,0.00%,16,0,0,0:17:52,1,0,2,0:04:25,0:04:31,0:00:00,0:08:56,0.00%,12,0,12,0,0,0,0,0,0,0,0,0,0,2,0
system/test_interface.py,0.00%,1,0,0,0:09:28,1,0,2,0:03:13,0:00:30,0:01:01,0:04:44,0.00%,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0
security/test_tacacs.py,0.00%,6,0,0,0:01:22,1,0,1,0:00:34,0:00:42,0:00:06,0:01:22,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0
system/test_ntp.py,33.33%,3,1,0,0:08:18,1,0,1,0:02:41,0:00:25,0:05:12,0:08:18,50.00%,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0
system/test_ssh.py,66.67%,6,4,0,0:32:04,1,0,2,0:03:07,0:00:55,0:12:00,0:16:02,66.67%,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0
switching/test_vlan.py,57.14%,7,4,0,0:30:10,1,0,2,0:00:40,0:00:28,0:13:57,0:15:05,75.00%,4,3,0,0,0,1,0,0,0,0,0,0,0,2,0
system/test_snmp.py,88.10%,42,37,0,0:09:18,1,0,1,0:04:15,0:00:46,0:04:17,0:09:18,90.00%,40,36,3,0,0,0,0,0,1,0,0,0,0,6,0
switching/test_portchannel.py,100.00%,3,3,0,0:05:04,1,0,2,0:00:49,0:00:35,0:01:08,0:02:32,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0
system/test_snapshot.py,50.00%,2,1,0,0:01:46,1,0,1,0:00:55,0:00:35,0:00:16,0:01:46,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0
