#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,ft_ipv6_neighbor_static_entry,Pass,Mapped,2024-01-01 02:27:46,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V4,
2,Regression,ft_ipv6_ndp_clear_cache,Pass,Mapped,2024-01-01 02:27:46,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V4,
3,Regression,ft_ipv6_neighbor_entry,Pass,Mapped,2024-01-01 02:27:46,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V4,
4,Regression,ft_ecn_config_to_config_db_json_after_save_and_reboot,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
5,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
6,Regression,ft_acl_configvalues_save_reload,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
7,Regression,FtOpSoQosWredCfg001,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
8,Regression,FtOpSoQosEcnCfg001,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
9,Regression,FtOpSoQosAclCmFn002,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
10,Regression,FtOpSoQosAclCmFn001,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
11,Regression,FtFpSoQoSCoSCfg001,Pass,Mapped,2024-01-01 02:38:45,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
