Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.79%,132,104,28,2,80.00%,3:02:34,0,0.00%,0.00%,0.00%,1.52%,5:53:18
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:55,0,0.00%,0.00%,0.00%,0.00%,0:09:50
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:12:40,0,0.00%,0.00%,0.00%,0.00%,0:25:20
Regression,76.60%,94,72,22,1,77.42%,1:33:56,0,0.00%,0.00%,0.00%,1.06%,2:58:35
VRF-Lite,100.00%,21,21,0,0,100.00%,0:34:45,0,0.00%,0.00%,0.00%,0.00%,1:09:30
NAT,100.00%,3,3,0,0,100.00%,0:02:33,0,0.00%,0.00%,0.00%,0.00%,0:02:33
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:31:37,0,0.00%,0.00%,0.00%,0.00%,1:03:14
