#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,gw3,Regression,ft_add_unknownvlan_interface,Pass,Mapped,2024-01-04 02:39:11,Test case passed,test_ft_add_unknownvlan_interface,switching/test_vlan.py,"V1, V2",
2,gw3,Regression,ft_vlan_delete_with_member,Pass,Mapped,2024-01-04 02:39:23,Test case passed,test_ft_vlan_delete_with_member,switching/test_vlan.py,"V1, V2",
3,gw3,Regression,ft_vlan_trunk_tagged,Pass,Mapped,2024-01-04 02:40:49,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",
4,gw3,Regression,ft_show_vlan_brief,Pass,Mapped,2024-01-04 02:40:49,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",
5,gw2,Regression,FtOpSoSwLagFn042,Fail,Mapped,2024-01-04 02:41:04,"Portchannel PortChannel7 on V4 with member ['Ethernet48', 'Ethernet52'] verification failed",test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V3, V4",
6,gw2,Regression,FtOpSoSwLagFn041,Fail,Mapped,2024-01-04 02:41:04,"Portchannel PortChannel7 on V4 with member ['Ethernet48', 'Ethernet52'] verification failed",test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V3, V4",
7,gw2,PortChannel Config Enhancements,FtOpSoSwPominFn007,ConfigFail,Mapped,2024-01-04 02:41:43,pre-test configuration failed Invalid error code PortChannel Verification Failed : unknown message identifier 'PortChannel Verification Failed' @5430,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,"V3, V4",
8,gw3,warmboot,ft_reboot_fdb_fast_reboot,ScriptError,Mapped,2024-01-04 02:46:03,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
9,gw3,warmboot,ft_max_vlan_save_reload,ScriptError,Mapped,2024-01-04 02:46:03,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
10,gw3,warmboot,FtOpSoSysFRFn005,ScriptError,Mapped,2024-01-04 02:46:03,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
11,gw2,Regression,FtOpSoSyInIpFn002,DUTFail,Mapped,2024-01-04 02:46:19,config command 'sudo -s config interface ip remove Ethernet48 11.11.11.11/24' failed,test_ft_port_fn_verify_shut_noshut,system/test_interface.py,"V3, V4",
12,gw2,Regression,ft_ssh_service_disable,Pass,Mapped,2024-01-04 02:51:52,Test case passed,test_ft_ssh_service_disable,system/test_ssh.py,"V3, V4",
13,gw3,Regression,ft_lldp_LocManAddrLen,Fail,Mapped,2024-01-04 02:52:26,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrLen,system/test_lldp.py,"V1, V2",
14,gw3,Regression,ft_lldp_LocManAddrlfld,Fail,Mapped,2024-01-04 02:52:26,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrlfld,system/test_lldp.py,"V1, V2",
15,gw3,Regression,ft_lldp_LocManAddrEntry,Fail,Mapped,2024-01-04 02:52:27,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrEntry,system/test_lldp.py,"V1, V2",
16,gw3,Regression,ft_lldp_ConfigManAddrEntry,Fail,Mapped,2024-01-04 02:52:27,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_ConfigManAddrEntry,system/test_lldp.py,"V1, V2",
17,gw3,Regression,ft_lldp_lldplocportid,Fail,Mapped,2024-01-04 02:52:27,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocportid,system/test_lldp.py,"V1, V2",
18,gw3,Regression,ft_lldp_lldplocsysname,Fail,Mapped,2024-01-04 02:52:28,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysname,system/test_lldp.py,"V1, V2",
19,gw3,Regression,ft_lldp_lldplocsysdesc,Fail,Mapped,2024-01-04 02:52:28,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysdesc,system/test_lldp.py,"V1, V2",
20,gw3,SNMP Agent Optimization,ft_snmp_lldp_prem_manaddr_table,Fail,Mapped,2024-01-04 02:52:28,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_rem_man_addr_table,system/test_lldp.py,"V1, V2",
21,gw3,Regression,FtOpSoSwlldpFn011,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
22,gw3,Regression,FtOpSoSwlldpFn010,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
23,gw3,Regression,FtOpSoSwlldpFn009,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
24,gw3,Regression,FtOpSoSwlldpFn008,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
25,gw3,Regression,FtOpSoSwlldpFn004,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
26,gw3,Regression,FtOpSoSwlldpFn013,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_docker_restart,system/test_lldp.py,"V1, V2",
27,gw3,Regression,lldp_verify_counters,Fail,Mapped,2024-01-04 02:52:29,module configuration failed. LLDP neighbors information is not found after polling @5445,test_lldp_verify_counters,system/test_lldp.py,"V1, V2",
28,gw3,Regression,ft_lldp_with_remote_server,Fail,Mapped,2024-01-04 02:52:30,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_with_remote_server,system/test_lldp.py,"V1, V2",
29,gw4,Instrumentation,ft_sf_wm_telemetry_interval,Pass,Mapped,2024-01-04 02:59:29,verification of configured telemetry interval and reset to default interval is successful,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V2,
30,gw4,Instrumentation Enhancements,ft_sf_snapshot_tam_Error_Logs,Fail,SubTest,2024-01-04 02:59:29,Error logs are getting generated on the device,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V2,
31,gw2,Regression,ft_ssh_add_user_verify,Fail,Mapped,2024-01-04 03:01:00,Test case Failed.,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
32,gw2,Control Plane ACL,test_ft_controlplane_acl_service_sshv4,Pass,SubTest,2024-01-04 03:01:00,SSH failed,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
33,gw2,Control Plane ACL,test_ft_controlplane_acl_service_sshv6,Pass,SubTest,2024-01-04 03:01:00,SSH failed,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
34,gw2,Control Plane ACL,test_ft_controlplane_acl_service_snmp,Fail,SubTest,2024-01-04 03:01:00,SNMP output is not found after walk of with control plane ACL service SNMP after reboot OID,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
35,gw2,Regression,CETA_SONIC_67575,Pass,Mapped,2024-01-04 03:01:22,Test case passed,test_ft_verify_logs_at_the_time_of_ssh_login_success,system/test_ssh.py,"V3, V4",
36,gw7,Regression,ft_ntp_message_log_display_with_correct_time,Pass,Mapped,2024-01-04 03:03:59,Test case passed,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,V1,
37,gw7,Regression,ft_ntp_disable_ntp_enable_ntp,Pass,Mapped,2024-01-04 03:03:59,Test case passed,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,V1,
38,gw7,Regression,ft_ntp_existsconfig,Pass,Mapped,2024-01-04 03:04:10,Test case passed,test_ntp_exists_config,system/test_ntp.py,V1,
39,gw4,Regression,ft_snmp_sysName,Fail,Mapped,2024-01-04 03:04:19,sysname output is not in sync between system and snmp,test_ft_snmp_sysName,system/test_snmp.py,V2,
