Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
SNMP Agent Optimization,,ft_snmp_lldp_prem_manaddr_table,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_rem_man_addr_table,system/test_lldp.py,"V1, V2",,,,,
Regression,,FtOpSoSwlldpFn011,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",,,,,
Regression,,FtOpSoSwlldpFn010,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",,,,,
Regression,,FtOpSoSwlldpFn009,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",,,,,
Regression,,FtOpSoSwlldpFn008,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",,,,,
Regression,,FtOpSoSwlldpFn004,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",,,,,
Regression,,FtOpSoSwlldpFn013,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_docker_restart,system/test_lldp.py,"V1, V2",,,,,
Regression,,lldp_verify_counters,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_lldp_verify_counters,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_with_remote_server,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_with_remote_server,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_ssh_service_disable,Pass,Test case passed,test_ft_ssh_service_disable,system/test_ssh.py,"V1, V2",,,,,
Control Plane ACL,,test_ft_controlplane_acl_service_sshv6,ScriptError,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",,,,,
Control Plane ACL,,test_ft_controlplane_acl_service_sshv4,ScriptError,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",,,,,
Control Plane ACL,,test_ft_controlplane_acl_service_snmp,ScriptError,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",,,,,
Regression,,ft_ssh_add_user_verify,ScriptError,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",,,,,
Regression,,CETA_SONIC_67575,Pass,Test case passed,test_ft_verify_logs_at_the_time_of_ssh_login_success,system/test_ssh.py,"V1, V2",,,,,
Regression,,FtOpSoSyInIpFn002,Fail,interface is down on DUT ['Ethernet16'],test_ft_port_fn_verify_shut_noshut,system/test_interface.py,"V1, V2",,,,,
Instrumentation,,ft_sf_wm_telemetry_interval,Pass,verification of configured telemetry interval and reset to default interval is successful,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V2,,,,,
Instrumentation Enhancements,,ft_sf_snapshot_tam_Error_Logs,Pass,Error logs are getting generated on the device,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V2,,,,,
Regression,,ft_snmp_sysName,Pass,Test case passed,test_ft_snmp_sysName,system/test_snmp.py,V2,,,,,
Regression,,ft_ntp_message_log_display_with_correct_time,Fail,None of the configured ntp server reachable,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,V1,,,,,
Regression,,ft_ntp_disable_ntp_enable_ntp,Fail,None of the configured ntp server reachable,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,V1,,,,,
Regression,,ft_snmp_test_syUpTime,Pass,Test case passed,test_ft_snmp_test_syUpTime,system/test_snmp.py,V2,,,,,
Regression,,ft_snmp_sysDescr,Pass,Test case passed,test_ft_snmp_sysDescr,system/test_snmp.py,V2,,,,,
Regression,,ft_ntp_existsconfig,Pass,Test case passed,test_ntp_exists_config,system/test_ntp.py,V1,,,,,
Regression,,FtOpSoSySnFn008,Pass,Test case passed,test_ft_snmp_mib_2,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn009,Pass,Test case passed,test_ft_snmp_if_mib_all,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn010,Pass,Test case passed,test_ft_snmp_entity_mib_all,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn013,Pass,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn012,Pass,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn015,Pass,Test case passed,test_ft_snmp_root_node_walk,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn016,Pass,Test case passed,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn017,Pass,Test case passed,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn020,Pass,Test case passed,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn021,Pass,Test case passed,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,V2,,,,,
Regression,,test_snmp_ip_forward_table,Pass,Test case passed,test_ft_snmp_ip_forward_table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ifXTable,Pass,Test case passed,test_ft_snmp_ifx_table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ip_System_Stats_Table,Pass,Test case passed,test_ft_snmp_ip_System_Stats_Table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ip_IfStats_Table,Pass,Test case passed,test_ft_snmp_ip_IfStats_Table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ip_Address_Table,Pass,Test case passed,test_ft_snmp_ip_Address_Table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ip_NetToPhysical_Table,Pass,Test case passed,test_ft_snmp_ip_NetToPhysical_Table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_icmp_Msgs,Pass,Test case passed,test_ft_snmp_icmp_Msgs,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_tcp_mib,Pass,Test case passed,test_ft_snmp_tcp_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_udp_mib,Pass,Test case passed,test_ft_snmp_udp_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_snmpv2_mib,Pass,Test case passed,test_ft_snmp_snmpv2_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_host_resource_mib,Pass,Test case passed,test_ft_snmp_host_resource_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_framework_mib,Pass,Test case passed,test_ft_snmp_framework_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_mpd_mib,Pass,Test case passed,test_ft_snmp_mpd_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_target_mib,Pass,Test case passed,test_ft_snmp_target_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_notification_mib,Pass,Test case passed,test_ft_snmp_notification_mib,system/test_snmp.py,V2,,,,,
Regression,,ft_tacacsauth_enable_pamfile_created,Pass,Test case passed,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,,,,,
Regression,,ft_tacacs_ssh_login,Pass,Test case passed,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,,,,,
Regression,,ft_tacacs_single_server_for_auth,Pass,Test case passed,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,,,,,
Regression,,ft_tacacs_default_login,Pass,Test case passed,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,,,,,
Regression,,executing_server_key_in_appropriate_mode,Pass,Test case passed,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,,,,,
Regression,,auth_shared_keys ,Pass,Test case passed,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,,,,,
SNMP Agent Optimization,,ft_snmp_user_based_sm_mib,Pass,Test case passed,test_ft_snmp_user_based_sm_mib,system/test_snmp.py,V2,,,,,
warmboot,,ft_reboot_fdb_fast_reboot,DUTFail,config command 'show interfaces counters -a' failed,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V3, V4",,,,,
warmboot,,ft_max_vlan_save_reload,DUTFail,config command 'show interfaces counters -a' failed,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V3, V4",,,,,
warmboot,,FtOpSoSysFRFn005,DUTFail,config command 'show interfaces counters -a' failed,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V3, V4",,,,,
SNMP Agent Optimization,,ft_snmp_view_based_acm_mib,Pass,Test case passed,test_ft_snmp_view_based_acm_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ent_physical_table,Pass,Test case passed,test_ft_snmp_ent_physical_table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_dot3_stats_table,Pass,Test case passed,test_ft_snmp_dot3_stats_table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_net_snmp_agent_mib,Pass,Test case passed,test_ft_net_snmp_agent_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_net_snmp_vacm_mib,Pass,Test case passed,test_ft_net_snmp_vacm_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ucd_diskio_mib,Pass,Test case passed,test_ft_snmp_ucd_diskio_mib,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ucd_la_table,Pass,Test case passed,test_ft_snmp_ucd_la_table,system/test_snmp.py,V2,,,,,
SNMP Agent Optimization,,ft_snmp_ucd_system_stats,Pass,Test case passed,test_ft_snmp_ucd_system_stats,system/test_snmp.py,V2,,,,,
SNMP MIB and Traps,,SNMPQBr003,Fail,SNMP output is not found after walk of dot1qTpFdbPort OID,test_ft_snmp_dot1q_tp_fdb_port,system/test_snmp.py,V2,,,,,
SNMP MIB and Traps,,SNMPQBr002,Pass,Test case passed,test_ft_snmp_dot1q_tp_fdb_address,system/test_snmp.py,V2,,,,,
In-Memory Debug Log,,FtOpSoSysImLogFn012,EnvFail,Test case Failed Couldn't get the snmptrapd process details from snmp trap server. Please check the snmp trap server process in the server.,test_ft_snmp_coldstart_trap,system/test_snmp.py,V2,,,,,
SNMP MIB and Traps,,SNMPTrap004,EnvFail,Test case Failed Couldn't get the snmptrapd process details from snmp trap server. Please check the snmp trap server process in the server.,test_ft_snmp_coldstart_trap,system/test_snmp.py,V2,,,,,
Regression,,FtOpSoSySnFn023,Pass,Test case passed,test_ft_snmp_docker_restart,system/test_snmp.py,V2,,,,,
