Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.79%,132,104,28,2,80.00%,3:05:49,0,0.00%,0.00%,0.00%,1.52%,5:57:27
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:45,0,0.00%,0.00%,0.00%,0.00%,0:09:30
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:12:49,0,0.00%,0.00%,0.00%,0.00%,0:25:38
Regression,76.60%,94,72,22,1,77.42%,1:35:53,0,0.00%,0.00%,0.00%,1.06%,3:00:08
VRF-Lite,100.00%,21,21,0,0,100.00%,0:32:26,0,0.00%,0.00%,0.00%,0.00%,1:04:52
NAT,100.00%,3,3,0,0,100.00%,0:02:33,0,0.00%,0.00%,0.00%,0.00%,0:02:33
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:35:15,0,0.00%,0.00%,0.00%,0.00%,1:10:30
