Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.79%,132,104,28,2,80.00%,3:02:53,0,0.00%,0.00%,0.00%,1.52%,5:53:56
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:50,0,0.00%,0.00%,0.00%,0.00%,0:09:40
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:12:41,0,0.00%,0.00%,0.00%,0.00%,0:25:22
Regression,76.60%,94,72,22,1,77.42%,1:36:40,0,0.00%,0.00%,0.00%,1.06%,3:04:04
VRF-Lite,100.00%,21,21,0,0,100.00%,0:32:20,0,0.00%,0.00%,0.00%,0.00%,1:04:40
NAT,100.00%,3,3,0,0,100.00%,0:02:34,0,0.00%,0.00%,0.00%,0.00%,0:02:34
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:31:40,0,0.00%,0.00%,0.00%,0.00%,1:03:20
