#,Module,Function,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_portchannel.py, --Module--,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_LocManAddrLen,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_LocManAddrlfld,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_LocManAddrEntry,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_ConfigManAddrEntry,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_lldplocportid,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_lldplocsysname,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_lldplocsysdesc,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_rem_man_addr_table,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_non_default_config,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_docker_restart,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_lldp_verify_counters,2,NE,NE,NE,NE,NE,NE
0,system/test_lldp.py,test_ft_lldp_with_remote_server,2,NE,NE,NE,NE,NE,NE
2,system/test_lldp.py, --Module--,2,NE,NE,NE,NE,NE,NE
0,system/test_ssh.py,test_ft_ssh_service_disable,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,system/test_ssh.py, --Module--,2,NE,NE,NE,NE,NE,NE
0,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,system/test_interface.py, --Module--,2,NE,NE,NE,NE,NE,NE
