#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,qos/test_qos_save_reboot.py,V2,UNKNOWN,VS,scapy,8,8,100.00%,0:06:39
2,gw5,routing/test_l3_performance.py,V4,UNKNOWN,VS,scapy,8,6,75.00%,0:05:04
3,gw5,routing/test_ndp.py,V4,UNKNOWN,VS,scapy,3,3,100.00%,0:03:39
4,gw7,routing/NAT/test_nat.py,V3,UNKNOWN,VS,scapy,3,3,100.00%,0:02:40
5,gw7,system/test_device_mgmt.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:01:42
6,gw7,routing/test_arp.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:02:46
7,gw2,routing/BGP/test_bgp.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,52,46,88.46%,0:41:20
8,gw2,system/test_sflow.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:06:25
9,gw2,routing/test_ip.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,21,6,28.57%,0:11:41
10,gw2,sanity/test_sanity_l3.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:03:40
11,gw2,routing/BGP/test_bgp_rr_traffic.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:07:36
12,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:09:07
13,gw3,routing/VRF/test_vrf.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,17,3,17.65%,0:19:59
14,gw3,routing/VRF/test_vrf_scale.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,6,1,16.67%,0:56:31
