#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,ft_ip_static_ip_on_mgmt_intrf,Pass,Mapped,2023-12-27 00:27:39,Test case passed,test_ft_ip_static_ip_on_mgmt_intrf,system/test_device_mgmt.py,V4,
2,Regression,ft_ecn_config_to_config_db_json_after_save_and_reboot,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
3,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
4,Regression,ft_acl_configvalues_save_reload,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
5,Regression,FtOpSoQosWredCfg001,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
6,Regression,FtOpSoQosEcnCfg001,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
7,Regression,FtOpSoQosAclCmFn002,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
8,Regression,FtOpSoQosAclCmFn001,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
9,Regression,FtFpSoQoSCoSCfg001,Pass,Mapped,2023-12-27 00:36:12,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V4,
