Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.03%,132,103,29,2,79.23%,3:04:29,0,0.00%,0.00%,0.00%,1.52%,5:57:03
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:41,0,0.00%,0.00%,0.00%,0.00%,0:09:22
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:13:22,0,0.00%,0.00%,0.00%,0.00%,0:26:44
Regression,75.53%,94,71,23,1,76.34%,1:36:05,0,0.00%,0.00%,0.00%,1.06%,3:02:47
VRF-Lite,100.00%,21,21,0,0,100.00%,0:32:44,0,0.00%,0.00%,0.00%,0.00%,1:05:28
NAT,100.00%,3,3,0,0,100.00%,0:02:32,0,0.00%,0.00%,0.00%,0.00%,0:02:32
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:32:57,0,0.00%,0.00%,0.00%,0.00%,1:05:54
