#,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,routing/VRF/test_vrf_scale.py,test_vrf_scale,,0:25:46,0:45:59.519,0:01:17.041,0:00:00.000,0:00:30,0:00:00,0,0,Module Configuration
2,routing/VRF/test_vrf_scale.py,test_vrf_scale,Pass,0:03:56,0:00:00.000,0:03:42.107,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
3,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:07,0:00:00.000,0:00:46.233,0:00:00.000,0:01:00,0:00:10,0,0,Test case passed
4,routing/VRF/test_vrf_scale.py,test_vrf_bgp,Pass,0:09:43,0:00:00.000,0:13:12.534,0:00:00.000,0:00:10,0:00:00,0,0,Test case passed
5,routing/VRF/test_vrf_scale.py,test_vrf_reload,Pass,0:04:41,0:00:00.000,0:04:14.666,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
6,routing/test_ip.py,test_l3_v4_route_po_1,,0:03:23,0:02:27.047,0:01:06.310,0:00:00.000,0:00:30,0:00:00,0,0,Module Configuration
7,routing/test_ip.py,test_l3_v4_route_po_1,Fail,0:02:30,0:00:00.000,0:00:08.981,0:00:00.000,0:00:12,0:00:10,0,0,Test case Failed.
8,routing/test_ip.py,test_ft_ping_v4_v6_vlan,Pass,0:00:07,0:00:00.000,0:00:00.723,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
9,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,Pass,0:00:24,0:00:00.000,0:00:11.023,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
10,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,Fail,0:01:11,0:00:00.000,0:00:03.215,0:00:00.000,0:00:02,0:00:10,0,0,traffic verification is failed
11,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,Pass,0:00:57,0:00:00.000,0:00:00.262,0:00:00.000,0:00:00,0:00:10,0,0,Test case passed
12,routing/test_ip.py,test_ft_ip_v4_v6_L2_L3_translation,Pass,0:01:36,0:00:00.000,0:00:34.029,0:00:00.000,0:00:12,0:00:00,0,0,Test case passed
13,routing/test_ip.py,test_ft_verify_interfaces_order,Pass,0:00:35,0:00:00.000,0:00:19.781,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
14,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,,0:05:52,0:04:28.436,0:00:57.811,0:00:00.000,0:00:20,0:00:00,0,0,Module Configuration
15,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,Pass,0:02:36,0:00:00.000,0:00:09.587,0:00:00.000,0:00:25,0:01:10,0,0,Test case passed
