Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,65.91%,132,87,45,3,67.44%,2:55:29,0,0.76%,0.00%,0.00%,1.52%,5:47:16
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:31:11,0,0.00%,0.00%,0.00%,0.00%,1:02:22
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:49,0,0.00%,0.00%,0.00%,0.00%,0:07:38
VRF-Lite,19.05%,21,4,17,0,19.05%,0:45:04,0,0.00%,0.00%,0.00%,0.00%,1:30:08
RIF Counters,50.00%,4,2,2,1,66.67%,0:03:01,0,0.00%,0.00%,0.00%,25.00%,0:06:02
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:06:21,0,0.00%,0.00%,0.00%,0.00%,0:12:42
Regression,78.72%,94,74,20,2,80.43%,1:23:27,0,1.06%,0.00%,0.00%,1.06%,2:45:48
NAT,100.00%,3,3,0,0,100.00%,0:02:36,0,0.00%,0.00%,0.00%,0.00%,0:02:36
